"Bedrijfstakken/branches (SBI 2008)","Perioden","Regio's","Oprichtingen van vestigingen (aantal)"
"01 Landbouw","2021","Niet in te delen (PV)","5"
"01 Landbouw","2022**","Niet in te delen (PV)","0"
"01 Landbouw","2023*","Niet in te delen (PV)","0"
"02 Bosbouw","2017","Nederland","30"
"02 Bosbouw","2018","Nederland","40"
"02 Bosbouw","2019","Nederland","35"
"02 Bosbouw","2020","Nederland","30"
"02 Bosbouw","2021","Nederland","45"
"02 Bosbouw","2022**","Nederland","40"
"02 Bosbouw","2023*","Nederland","45"
"02 Bosbouw","2017","Groningen (PV)","0"
"02 Bosbouw","2018","Groningen (PV)","5"
"02 Bosbouw","2019","Groningen (PV)","0"
"02 Bosbouw","2020","Groningen (PV)","5"
"02 Bosbouw","2021","Groningen (PV)","5"
"02 Bosbouw","2022**","Groningen (PV)","5"
"02 Bosbouw","2023*","Groningen (PV)","5"
"02 Bosbouw","2017","Fryslân (PV)","5"
"02 Bosbouw","2018","Fryslân (PV)","0"
"02 Bosbouw","2019","Fryslân (PV)","0"
"02 Bosbouw","2020","Fryslân (PV)","0"
"02 Bosbouw","2021","Fryslân (PV)","0"
"02 Bosbouw","2022**","Fryslân (PV)","5"
"02 Bosbouw","2023*","Fryslân (PV)","5"
"02 Bosbouw","2017","Drenthe (PV)","0"
"02 Bosbouw","2018","Drenthe (PV)","0"
"02 Bosbouw","2019","Drenthe (PV)","0"
"02 Bosbouw","2020","Drenthe (PV)","0"
"02 Bosbouw","2021","Drenthe (PV)","0"
"02 Bosbouw","2022**","Drenthe (PV)","0"
"02 Bosbouw","2023*","Drenthe (PV)","0"
"02 Bosbouw","2017","Overijssel (PV)","5"
"02 Bosbouw","2018","Overijssel (PV)","10"
"02 Bosbouw","2019","Overijssel (PV)","5"
"02 Bosbouw","2020","Overijssel (PV)","5"
"02 Bosbouw","2021","Overijssel (PV)","10"
"02 Bosbouw","2022**","Overijssel (PV)","5"
"02 Bosbouw","2023*","Overijssel (PV)","5"
"02 Bosbouw","2017","Flevoland (PV)","0"
"02 Bosbouw","2018","Flevoland (PV)","0"
"02 Bosbouw","2019","Flevoland (PV)","0"
"02 Bosbouw","2020","Flevoland (PV)","0"
"02 Bosbouw","2021","Flevoland (PV)","0"
"02 Bosbouw","2022**","Flevoland (PV)","0"
"02 Bosbouw","2023*","Flevoland (PV)","0"
"02 Bosbouw","2017","Gelderland (PV)","10"
"02 Bosbouw","2018","Gelderland (PV)","15"
"02 Bosbouw","2019","Gelderland (PV)","10"
"02 Bosbouw","2020","Gelderland (PV)","5"
